Test,Unit,n_obs,n_missing,mean,median,std,p10,p25,p75,p90,min,max,first_sample,last_sample,n_years,n_sites,lat_min,lat_max,lon_min,lon_max,frac_neg,frac_zero,frac_high
"1,3,5-Trimethylbenzene :- {Mesitylene}",mg/l,930,0,0.008690150537634408,0.01,0.0033071517862786745,0.001,0.01,0.01,0.01,6e-05,0.0243,2000-01-05 11:30:00,2014-02-24 11:30:00,14,50,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.001075268817204301
Chlorotoluene : Total Isomers (2- 3- 4-),mg/l,908,0,0.009636784140969162,0.01,0.0018425544949647204,0.01,0.01,0.01,0.01,0.0003,0.01,2000-01-04 11:30:00,2009-12-09 11:55:00,10,32,51.84177030068544,54.97725957729312,-3.003362069430355,-0.8048717338048467,0.0,0.0,0.0
"1,2-Dichlorobenzene",mg/l,908,0,0.0008808964757709252,0.001,0.002553757673288427,0.0001,0.0001,0.001,0.001,2e-05,0.0577,2000-01-11 13:08:00,2014-02-24 11:30:00,14,58,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.007709251101321586
"Silica, reactive as SiO2",mg/l,898,0,11.26561135857461,11.1,4.21805477383822,6.084,8.835,13.075,17.330000000000005,0.01,26.7,2000-01-13 14:00:00,2025-10-13 11:30:00,21,159,50.253505633827096,55.1690268435549,-5.283105894880979,1.344966801706201,0.0,0.0,0.01002227171492205
"1,2,3-Trimethylbenzene",mg/l,897,0,0.008924102564102565,0.01,0.0032357423356446555,0.001,0.01,0.01,0.01,0.0001,0.0344,2000-01-05 11:30:00,2014-02-24 11:30:00,14,48,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.005574136008918618
MCPB :- {4-Chloro-2-methylphenoxybutyric acid},mg/l,889,0,0.0006615349831271087,8e-05,0.006937139133841631,4e-05,4e-05,0.0001,0.0006080000000000018,5e-06,0.2,2000-01-13 08:00:00,2014-02-24 11:30:00,12,24,50.515728209386374,53.845941468256406,-3.657405622795426,0.5060212042124568,0.0,0.0,0.010123734533183352
"Optical Density at 410 nm, Filtered",abs/cm,889,0,0.028332845894263214,0.024,0.016808067993140545,0.0153,0.0195,0.032,0.044,0.0001,0.247,2000-01-05 09:44:00,2009-10-22 11:30:00,8,31,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.0,0.010123734533183352
"Optical Density at 430 nm, Filtered",abs/cm,889,0,0.02273217097862767,0.019,0.014655100114230556,0.011980000000000001,0.015,0.026,0.03622000000000003,0.0001,0.188,2000-01-05 09:44:00,2009-10-22 11:30:00,8,31,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.0,0.010123734533183352
"Optical Density at 440 nm, Filtered",abs/cm,889,0,0.02038507311586052,0.017,0.012313757358867828,0.01,0.0134,0.024,0.033,0.0001,0.154,2000-01-05 09:44:00,2009-10-22 11:30:00,8,31,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.0,0.010123734533183352
"Optical Density at 660 nm, Filtered",abs/cm,889,0,0.003640697412823397,0.003,0.0025289925992619433,0.0013,0.002,0.0045,0.0067,0.0,0.0249,2000-01-05 09:44:00,2009-10-22 11:30:00,8,31,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.008998875140607425,0.008998875140607425
"Optical Density at 670 nm, Filtered",abs/cm,889,0,0.26182202474690663,0.0027,7.713848532209209,0.001,0.0019,0.004,0.0058,0.0,230.0,2000-01-05 09:44:00,2009-10-22 11:30:00,8,31,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.013498312710911136,0.010123734533183352
"Optical Density at 680 nm, Filtered",abs/cm,889,0,0.002665264341957255,0.0021,0.002110444256121868,0.001,0.0015,0.003,0.005,0.0,0.0242,2000-01-05 09:44:00,2009-10-22 11:30:00,8,31,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.01799775028121485,0.010123734533183352
"Optical Density at 690 nm, Filtered",abs/cm,889,0,0.0023434758155230595,0.002,0.0019677415827879735,0.000980000000000001,0.0012,0.003,0.004,0.0,0.0256,2000-01-05 09:44:00,2009-10-22 11:30:00,8,31,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.024746906636670417,0.008998875140607425
"Optical Density at 420 nm, Filtered",abs/cm,888,0,0.025164527027027025,0.0211,0.015030441586889626,0.0133,0.017,0.029,0.03972000000000003,0.0001,0.214,2000-01-05 09:44:00,2009-10-22 11:30:00,8,31,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.0,0.010135135135135136
Bromoxynil,mg/l,865,0,0.00012887052023121353,8e-05,0.0005371906576440336,4e-05,4e-05,8e-05,0.0002,5e-06,0.0109,2000-01-13 08:00:00,2014-02-24 11:30:00,12,24,50.515728209386374,54.89911946272158,-3.657405622795426,0.5060212042124568,0.0,0.0,0.008092485549132947
"PCB : Total Congeners 28, 52, 101.118,138,153,180",mg/l,845,0,8.247124260354734e-05,5e-05,8.773666822744399e-05,3.5000000000000004e-05,4e-05,8.999999999999999e-05,0.00016,4.3e-06,0.0009,2000-01-19 15:10:00,2016-02-04 09:22:00,17,20,50.79633094231991,55.156662902851565,-1.5451147686374311,1.344966801706201,0.0,0.0,0.002366863905325444
2-Chloro-6-nitrotoluene,mg/l,837,0,0.0018253656750298686,0.001,0.0027012144773771282,5e-06,5e-06,0.005,0.005,1e-06,0.05,2000-01-06 11:25:00,2014-08-22 10:40:00,15,11,50.95039144045738,54.89911946272158,-2.7935865486517373,0.7123807159998174,0.0,0.0,0.0035842293906810036
2-Ethyl phenol,mg/l,833,0,0.0009997482593037215,0.0001,0.016351696689241354,0.0001,0.0001,0.0001,0.0005,2e-05,0.456,2000-01-05 10:55:00,2017-09-13 11:00:00,14,50,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.009603841536614645
2-Chloro-4-nitrotoluene,mg/l,829,0,0.0018401642943305188,0.001,0.0027570556227935776,5e-06,5.5e-06,0.005,0.005,1e-06,0.05,2000-01-06 11:25:00,2014-08-22 10:40:00,15,11,50.95039144045738,54.89911946272158,-2.7935865486517373,0.7123807159998174,0.0,0.0,0.0024125452352231603
Titanium,mg/l,804,0,0.009852139303482579,0.00555999999999995,0.01075093443304158,0.002,0.0023,0.013,0.024279999999999947,0.0012,0.0664,2000-01-13 11:20:00,2013-10-11 12:49:00,11,41,50.75524287873655,54.6132344990944,-3.1643326385362145,1.1650600695103228,0.0,0.0,0.011194029850746268
Ethion,mg/l,793,0,4.22610340479193e-05,1.5e-05,0.00035654497882694575,1e-05,1.5e-05,5e-05,5e-05,5e-06,0.01,2000-01-04 10:51:00,2014-02-24 11:30:00,13,40,50.515728209386374,54.97725957729312,-4.240149177360908,0.5060212042124568,0.0,0.0,0.008827238335435058
"1,3-Dichlorobenzene",mg/l,777,0,0.0008886872586872588,0.001,0.00044503860165578734,0.0002,0.001,0.001,0.001,2e-05,0.01,2000-01-11 13:08:00,2014-02-24 11:30:00,14,51,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.003861003861003861
"DNOC :- {4,6-dinitro-o-cresol}",mg/l,773,0,0.00032089133247089187,8e-05,0.002039197683609729,4e-05,8e-05,8e-05,0.0004,2.5e-05,0.046,2000-01-13 08:00:00,2009-02-19 13:30:00,10,7,53.676733385025805,53.845941468256406,-1.7356652048812182,-1.295498243428497,0.0,0.0,0.01034928848641656
Biphenyl,mg/l,767,0,0.008356844850065189,0.01,0.007771689414185996,0.0008,0.0025,0.0125,0.0125,1e-05,0.1,2002-01-04 13:50:00,2014-08-22 10:40:00,13,11,50.95039144045738,54.89911946272158,-3.5447273547497615,0.7123807159998174,0.0,0.0,0.001303780964797914
Diuron,mg/l,766,0,0.0008413313315926859,5e-05,0.006404422834298272,4e-05,4e-05,0.000258,0.0008545,1e-05,0.154,2000-01-12 09:08:00,2014-02-21 11:00:00,11,35,50.515728209386374,54.97725957729312,-3.657405622795426,0.7123807159998174,0.0,0.0,0.010443864229765013
Bentazone,mg/l,765,0,5.953653594771242e-05,4e-05,0.00010527009757826033,5e-06,4e-05,4.3e-05,8e-05,5e-06,0.00138,2002-01-04 13:50:00,2014-08-22 10:40:00,13,24,50.515728209386374,54.89911946272158,-3.657405622795426,0.7123807159998174,0.0,0.0,0.00261437908496732
Dichloromethane :- {Methylene Dichloride},mg/l,749,0,0.015169352469959945,0.0025,0.21785894232925632,0.0005,0.002,0.005,0.005,5e-06,5.0,2000-01-04 11:30:00,2015-03-02 09:02:00,15,48,50.515728209386374,55.70162646479321,-3.657405622795426,0.6490955044001634,0.0,0.0,0.010680907877169559
"Dinoseb :- {2-Methyl-n-propyl-4,6-dinitrophenol} :- {DNBP}",mg/l,739,0,0.004221741542625167,8e-05,0.024080878859526738,4e-05,8e-05,0.0004,0.002704000000000001,2.5e-05,0.447,2000-01-13 08:00:00,2009-02-19 13:30:00,10,7,53.676733385025805,53.845941468256406,-1.7356652048812182,-1.295498243428497,0.0,0.0,0.010825439783491205
Phorate,mg/l,729,0,9.552812071330589e-05,1.5e-05,0.0015254834045912843,1.5e-05,1.5e-05,5e-05,5e-05,1e-05,0.04,2000-01-04 10:51:00,2014-01-31 11:00:00,13,32,50.515728209386374,54.97725957729312,-4.240149177360908,0.5060212042124568,0.0,0.0,0.010973936899862825
"Orthophosphate, Filtered as P",mg/l,725,0,1.8955620689655173,1.29,1.9401105571415702,0.03,0.109,3.08,4.35,0.005,15.4,2000-01-20 09:00:00,2021-10-11 13:49:00,20,36,50.61846124922535,55.687393518970374,-4.097549675215906,1.5848174906177455,0.0,0.0,0.011034482758620689
4-Chloro-2-nitrotoluene :- {2-Nitro-4-Chlorotoluene},mg/l,722,0,0.0018932465373961219,0.001,0.0029439101824675273,5e-06,5e-06,0.005,0.005,1e-06,0.056,2002-01-04 13:50:00,2014-08-22 10:40:00,13,10,50.95039144045738,54.89911946272158,-2.7935865486517373,0.7123807159998174,0.0,0.0,0.0013850415512465374
2-Phenoxypropionic acid :- {PPA},mg/l,719,0,0.00020077176634214077,8e-05,0.0013009454378672457,4e-05,7.000000000000001e-05,0.0001,0.0004,5e-06,0.0337,2000-01-13 08:00:00,2014-02-24 11:30:00,12,20,50.515728209386374,53.845941468256406,-3.657405622795426,0.5060212042124568,0.0,0.0,0.011126564673157162
4-Chlorophenoxyacetic acid,mg/l,718,0,0.00012384378830083525,8e-05,0.0002307957812137714,4e-05,5e-05,8e-05,0.0004,5e-06,0.004,2000-01-13 08:00:00,2014-02-24 11:30:00,12,20,50.515728209386374,53.845941468256406,-3.657405622795426,0.5060212042124568,0.0,0.0,0.005571030640668524
Phenols : Monohydric,mg/l,714,0,0.07984106974789916,0.1,0.05943538951561738,0.0006977999999999996,0.0008337499999999749,0.15,0.15,8.000000000000001e-07,0.23,2006-06-14 09:53:00,2025-08-05 07:45:00,20,3,52.61334082080885,53.284611889162996,-2.1488262569305965,-1.3359412150161387,0.0,0.0,0.0028011204481792717
4-Chloro-3-nitrotoluene,mg/l,712,0,0.0018530337078651684,0.001,0.0021506758258752613,5e-06,5e-06,0.005,0.005,1e-06,0.005,2002-01-04 13:50:00,2014-08-22 10:40:00,13,10,50.95039144045738,54.89911946272158,-2.7935865486517373,0.7123807159998174,0.0,0.0,0.0
"2,4-D Methyl Ester",mg/l,710,0,0.00019309859154929566,0.0001,0.00021466237832787935,5e-06,5e-06,0.0005,0.0005,1e-06,0.001,2002-01-04 13:50:00,2014-08-22 10:40:00,13,10,50.95039144045738,54.89911946272158,-2.7935865486517373,0.7123807159998174,0.0,0.0,0.0014084507042253522
"2,4-D Butyl Ester",mg/l,710,0,0.00018985352112676045,0.0001,0.00021529319650207408,5e-06,5e-06,0.0005,0.0005,1e-06,0.001,2002-01-04 13:50:00,2014-08-22 10:40:00,13,10,50.95039144045738,54.89911946272158,-2.7935865486517373,0.7123807159998174,0.0,0.0,0.0014084507042253522
4-Phenoxybutyric acid :- {PBA},mg/l,699,0,0.00012800824034334737,8e-05,0.0002583946233099579,4e-05,5e-05,8e-05,0.0004,5e-06,0.0043,2000-01-13 08:00:00,2014-02-24 11:30:00,12,20,50.515728209386374,53.845941468256406,-3.657405622795426,0.5060212042124568,0.0,0.0,0.010014306151645207
"2,4-D Glycol Butyl Ester",mg/l,690,0,0.00019558115942028972,0.0001,0.00021628870520360943,5e-06,5e-06,0.0005,0.0005,1e-06,0.001,2002-01-04 13:50:00,2014-08-22 10:40:00,13,10,50.95039144045738,54.97725957729312,-2.9938214220497463,0.7123807159998174,0.0,0.0,0.0014492753623188406
"2,4-D Iso Octyl Ester",mg/l,690,0,0.0002003405797101448,0.0001,0.0002196493542999067,5e-06,5e-06,0.0005,0.0005,1e-06,0.001,2002-01-04 13:50:00,2014-08-22 10:40:00,13,10,50.95039144045738,54.97725957729312,-2.9938214220497463,0.7123807159998174,0.0,0.0,0.0014492753623188406
Phenoxyacetic acid :- {PAA},mg/l,676,0,0.0011624601479289906,0.0005,0.0018478823033684264,4.4e-05,8e-05,0.0016,0.003,5e-06,0.022,2000-01-13 08:00:00,2014-02-24 11:30:00,12,20,50.515728209386374,53.845941468256406,-3.657405622795426,0.5060212042124568,0.0,0.0,0.008875739644970414
"Manganese, Dissolved",mg/l,652,0,0.20233527607361962,0.03,1.0273435519861167,0.01,0.016274999999999998,0.06462499999999992,0.1800999999999998,0.01,16.0,2000-02-09 12:50:00,2025-08-19 14:05:00,20,47,50.21740141303312,55.36993057913782,-5.179031010412471,1.1357957507980339,0.0,0.0,0.010736196319018405
Antimony,mg/l,646,0,0.0033826321981424087,0.00155,0.010653305812444948,0.001,0.0012,0.0019675,0.004285000000000001,1e-06,0.132,2000-04-07 10:30:00,2025-08-28 13:45:00,26,53,51.023988624776855,54.58318681993097,-3.5259549943196347,1.1650600695103228,0.0,0.0,0.010835913312693499
Bromodichloromethane,mg/l,644,0,0.00011290590062111678,0.0001,8.878836894371417e-05,5e-05,5e-05,0.00010625000000000001,0.0002,1.2e-06,0.0014,2000-01-06 10:55:00,2014-02-24 11:30:00,14,55,50.515728209386374,54.814271075034185,-3.657405622795426,0.5060212042124568,0.0,0.0,0.010869565217391304
Potassium,mg/l,622,0,17.436191318327975,15.5,15.10953942960979,7.762,12.025,19.4,25.3,0.1,296.0,2000-01-06 15:00:00,2025-08-19 14:05:00,16,67,50.21740141303312,55.09340529039847,-5.2889659334764065,1.1357957507980339,0.0,0.0,0.011254019292604502
Chlorodibromomethane,mg/l,619,0,0.00012297092084006414,0.0001,7.908407181708634e-05,8.320000000000012e-05,0.0001,0.0001,0.0002,5e-05,0.0013,2000-01-06 10:55:00,2014-02-24 11:30:00,14,55,50.515728209386374,54.814271075034185,-3.657405622795426,0.5060212042124568,0.0,0.0,0.011308562197092083
Phenols : Monohydric as Phenol,mg/l,590,0,0.024866779661016948,0.01,0.04046329550753344,0.006,0.006,0.04,0.04,0.006,0.5,2000-01-05 09:00:00,2025-03-21 10:15:00,25,25,51.29889726823618,54.9925845642275,-2.9938214220497463,1.6018069121358134,0.0,0.0,0.010169491525423728
"Silver, Dissolved",mg/l,589,0,0.0007505497283531404,0.001,0.0006194099293371803,1.35e-05,0.0007,0.001,0.001,3e-06,0.01,2000-02-01 10:33:00,2025-09-12 09:30:00,18,18,50.343820147642,53.845941468256406,-4.083133103948713,0.7422080703518983,0.0,0.0,0.010186757215619695
Enterococci: Intestinal: Confirmed: MF,cfu/0.1l,589,0,113185.9558573854,3300.0,567125.0593745168,98.20000000000002,500.0,25000.0,162000.00000000047,3.0,9999999.0,2012-06-19 16:15:00,2025-09-30 12:25:00,14,84,50.07190907067018,54.5624323716657,-5.298094817195826,1.662915728621367,0.0,0.0,0.010186757215619695
"Flow, instantaneous",m3/s,567,0,172.21050181657847,0.594,1612.6049706489796,0.06118,0.31930000000000003,2.9450000000000003,378.2000000000003,0.0,33517.0,2000-01-04 09:05:00,2025-09-26 09:34:00,26,1936,50.020237527866065,55.59858395397074,-5.686126897809646,1.7215345757240053,0.0,0.005291005291005291,0.010582010582010581
Tecnazene,mg/l,566,0,5.6518515901059364e-05,3e-05,6.494605838494252e-05,5e-06,5e-06,0.0001,0.0001,3e-07,0.00089,2000-01-06 11:25:00,2017-10-19 11:15:00,14,38,50.515728209386374,54.60886453021771,-4.240149177360908,0.5060212042124568,0.0,0.0,0.0035335689045936395
Tetraphenyl Tin as Cation,mg/l,546,0,0.00025863956043956044,4e-05,0.002956747865850573,2e-05,4e-05,4e-05,4e-05,2e-06,0.04,2001-01-16 09:45:00,2014-08-19 11:35:00,11,42,50.15131692651347,53.81311089179054,-5.0478486193650856,1.2641677055776441,0.0,0.0,0.005494505494505495
"BOD : 5 Day ATU, Filtered",mg/l,544,0,6.866544117647059,3.25,17.10291277050838,1.9,2.7925,5.525,10.139999999999997,0.5,205.0,2000-01-10 13:04:00,2025-09-24 12:00:00,26,26,50.70698506667961,55.687393518970374,-3.2238252402734306,1.344966801706201,0.0,0.0,0.011029411764705883
Sodium,mg/l,535,0,156.8241308411215,108.0,837.4452649645563,42.86000000000001,64.45,151.5,209.0,3.56,19400.0,2000-01-06 15:00:00,2025-08-19 14:05:00,17,57,50.21740141303312,55.09340529039847,-5.2889659334764065,1.1357957507980339,0.0,0.0,0.011214953271028037
Salinity : In Situ,ppt,535,0,1.6158897196261681,0.5,4.289073964486295,0.2840000000000001,0.38,0.735,2.1520000000000015,0.0,35.7,2000-02-22 12:08:00,2025-09-24 13:55:00,26,276,50.17139886231322,55.76539182754644,-5.434512160253775,1.425529471241605,0.0,0.009345794392523364,0.011214953271028037
Bromoform :- {Tribromomethane},mg/l,528,0,0.00012451515151515097,0.0001,6.110885361475668e-05,6e-05,0.0001,0.0002,0.0002,5e-05,0.0005,2000-01-06 10:55:00,2014-02-24 11:30:00,14,48,50.515728209386374,54.814271075034185,-3.657405622795426,0.5060212042124568,0.0,0.0,0.011363636363636364
Chlorophyll : Acetone Extract,mg/l,524,0,0.008267881679389308,0.0019,0.04452462984685395,0.000513,0.001,0.0035175,0.006,0.0004,0.556,2004-10-12 07:45:00,2012-10-23 11:44:00,8,36,50.883572779915866,55.09773476677459,-4.097549675215906,0.8190044374760037,0.0,0.0,0.011450381679389313
Tris-Chloropropyl phosphate,mg/l,514,0,0.002719272373540847,0.00119499999999995,0.004655928017006613,0.0008114999999999999,0.001,0.0024775,0.004227,0.0001,0.0378999999999999,2000-01-10 14:35:00,2025-07-07 10:00:00,26,5,52.71097949499227,54.50433633297993,-3.5259549943196347,1.0378841891501158,0.0,0.0,0.011673151750972763
Dichlobenil,mg/l,502,0,4.0323505976095616e-05,1.5e-05,0.00044579375547490355,5e-06,5e-06,1.9425e-05,5e-05,1e-06,0.01,2000-01-06 11:20:00,2017-10-19 11:15:00,14,36,50.515728209386374,54.97725957729312,-4.240149177360908,0.5060212042124568,0.0,0.0,0.01195219123505976
BOD : 5 Day,mg/l,497,0,30.939517102615696,16.5,55.6054573659748,3.5320000000000005,7.3,28.2,57.6,1.0,464.0,2000-04-10 11:25:00,2013-11-19 16:10:00,14,49,50.09907608540231,53.07416975383357,-5.129336784930082,1.4138972138143284,0.0,0.0,0.01006036217303823
2-Chloro-5-nitrotoluene,mg/l,489,0,0.0029056237218813906,0.001,0.002003254644222759,0.001,0.001,0.005,0.005,0.0008,0.005,2002-03-13 10:45:00,2014-08-22 10:40:00,13,7,51.51523004416228,54.89911946272158,-2.7935865486517373,0.7123807159998174,0.0,0.0,0.0
"Flow, instantaneous",m3/d,477,0,92566.65896436058,700.7,339564.56964092434,188.14000000000001,378.9,12500.0,337642.4000000002,0.0,6067757.0,2000-01-04 09:05:00,2025-09-26 09:34:00,26,1936,50.020237527866065,55.59858395397074,-5.686126897809646,1.7215345757240053,0.0,0.0020964360587002098,0.010482180293501049
Selenium,mg/l,473,0,0.007209186046511628,0.001,0.12779525881029014,0.001,0.001,0.001,0.001,0.001,2.78,2000-01-13 11:55:00,2013-10-11 12:49:00,11,42,51.023988624776855,54.9925845642275,-3.5259549943196347,1.1357957507980339,0.0,0.0,0.010570824524312896
Tris-Chloroethyl phosphate,mg/l,472,0,0.0008470932203389756,0.00099,0.0006483600803868868,0.000391,0.00053275,0.001,0.00101,0.0001,0.012,2000-01-10 14:35:00,2025-07-07 10:00:00,26,4,52.906408790394146,54.50433633297993,-3.5259549943196347,-1.046339241239667,0.0,0.0,0.01059322033898305
"4-Chloro-3,5-dimethylphenol :- {PCMX}",mg/l,468,0,0.030919193589743585,0.00094799999999995,0.3751118699064584,0.0001,0.0003,0.0026175,0.015330000000000002,4e-06,7.39,2000-01-07 14:45:00,2017-09-13 11:00:00,14,25,50.515728209386374,54.890644473410084,-3.657405622795426,1.3428963545646073,0.0,0.0,0.010683760683760684
Omethoate,mg/l,441,0,1e-05,1e-05,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2005-03-11 12:05:00,2013-10-01 09:30:00,9,6,51.51523004416228,54.97725957729312,-2.9938214220497463,0.7123807159998174,0.0,0.0,0.0
Isoproturon,mg/l,439,0,0.00044034464692482714,5e-05,0.0016982166421198631,2e-05,4e-05,6e-05,0.0005847999999999797,1e-05,0.0150999999999999,2000-01-04 10:51:00,2014-02-21 11:00:00,10,26,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.011389521640091117
UV : Applied dose,mw.s/sq.,422,0,112.92578199052133,45.075,428.0758340821858,20.59,28.4125,70.325,200.0,0.0,6651.0,2001-01-17 11:20:00,2025-08-08 10:50:00,11,19,50.23522237701555,51.70317954641791,-4.205600157194987,0.7810986423444627,0.0,0.009478672985781991,0.011848341232227487
Anthracene,mg/l,421,0,6.658085510688836e-05,2e-05,0.0009738907987680041,1e-05,1e-05,3e-05,3e-05,2e-08,0.02,2000-01-13 15:41:00,2019-02-07 11:10:00,13,41,50.515728209386374,53.774132615556596,-3.657405622795426,1.3714352864107948,0.0,0.0,0.011876484560570071
UV Transmissivity,%,416,0,102.31430288461539,65.46,519.3596292929129,41.2,59.915,74.365,82.925,0.0,7602.0,2001-01-17 11:20:00,2025-08-08 10:50:00,11,19,50.23522237701555,51.70317954641791,-4.205600157194987,0.7810986423444627,0.0,0.002403846153846154,0.01201923076923077
"Coliforms, Total : Confirmed : MF",no/100ml,409,0,734956.8434961125,23000.0,1993976.4844763796,85.00000000000003,567.0,250000.0,2400000.0,10.0,9999999.99999,2001-02-23 12:35:00,2012-07-09 13:55:00,12,74,50.23522237701555,54.55400483633017,-5.072011478647658,1.2847705587368599,0.0,0.0,0.0
Benzo(b)Fluoranthene,mg/l,387,0,6.910361757105943e-05,2e-05,0.001015848427270994,3e-06,1e-05,2.15e-05,3e-05,3e-06,0.02,2000-01-13 15:41:00,2019-02-07 11:10:00,13,47,50.515728209386374,54.9925845642275,-3.657405622795426,1.3714352864107948,0.0,0.0,0.0103359173126615
Dicamba,mg/l,377,0,7.150503978779842e-05,4e-05,9.98685585682022e-05,4e-05,4e-05,4e-05,8.999999999999999e-05,4e-05,0.001,2000-01-04 10:51:00,2014-02-24 11:30:00,12,29,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.007957559681697613
UV : Received dose,mw.s/sq.,376,0,145.42015159574467,69.14,483.08055310012315,49.555,56.395,97.8675,199.9,0.52,5646.0,2001-01-17 11:20:00,2006-09-06 12:00:00,6,18,50.23522237701555,51.2084180454135,-4.205600157194987,-1.7673802488532018,0.0,0.0,0.010638297872340425
"HCH : Total Isomers (Alpha, Beta, Gamma, Delta, Epsilon)",mg/l,373,0,4.0529490616621986e-05,3.35e-05,1.8672066394738113e-05,3.35e-05,3.35e-05,3.45e-05,6.7e-05,9.6e-06,0.000179,2000-05-31 15:05:00,2003-12-17 13:00:00,4,11,50.31850421305936,53.6840430782135,-5.207802483371703,0.6286177138322722,0.0,0.0,0.010723860589812333
MTBE :- {Methyl tert-butyl ether},mg/l,372,0,0.0016810887096774167,0.0005,0.0056629155254315795,0.0001,0.0001,0.0005,0.001462000000000006,0.0001,0.0495,2000-01-31 10:32:00,2015-11-26 11:49:00,16,18,50.515728209386374,54.814271075034185,-3.657405622795426,0.9327648012711007,0.0,0.0,0.010752688172043012
"2,4,5-T :- {2,4,5-Trichlorophenoxyacetic acid}",mg/l,370,0,4.644864864864865e-05,4e-05,6.346608945227385e-05,4e-05,4e-05,4e-05,4.020000000000005e-05,5e-06,0.001,2000-01-04 10:51:00,2014-02-24 11:30:00,12,29,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.002702702702702703
Monobutyl Tin as Cation,mg/l,367,0,0.00023890817438691853,0.000155,0.0004333131260803694,1.2e-05,3.1950000000000004e-05,0.000155,0.0005708000000000018,1e-06,0.00488,2001-01-26 12:30:00,2016-04-04 12:54:00,16,26,50.15131692651347,54.89423911628222,-5.0478486193650856,0.7123807159998174,0.0,0.0,0.010899182561307902
HCH : Total,mg/l,366,0,0.19126493442622952,1.4e-05,1.3715413660582023,0.0,0.0,1.4e-05,1.4e-05,0.0,10.0,2009-04-26 11:00:00,2025-08-12 07:47:00,17,4,51.38538227199562,51.50387734352205,-0.6427480981994321,0.3991697325166173,0.0,0.453551912568306,0.0
Triclopyr,mg/l,364,0,4.480302197802198e-05,4e-05,5.86938024209807e-05,4e-05,4e-05,4e-05,4.1399999999999976e-05,5e-06,0.001,2000-01-04 10:51:00,2014-02-24 11:30:00,12,27,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.01098901098901099
Benzo(k)Fluoranthene,mg/l,363,0,7.113250688705235e-05,1.7e-05,0.0010489514360462438,3e-06,4e-06,2e-05,3e-05,3e-06,0.02,2000-01-13 15:41:00,2019-02-07 11:10:00,13,46,50.515728209386374,54.9925845642275,-3.657405622795426,1.3714352864107948,0.0,0.0,0.005509641873278237
Benzo(a)Pyrene,mg/l,362,0,7.287209944751383e-05,1.7999999999999997e-05,0.0010503926029346053,5e-06,5.5e-06,2e-05,3e-05,5e-06,0.02,2000-01-13 15:41:00,2019-02-07 11:10:00,13,46,50.515728209386374,54.9925845642275,-3.657405622795426,1.3714352864107948,0.0,0.0,0.011049723756906077
"Benzo(g,h,i)Perylene",mg/l,359,0,1.578105849582173e-05,1.9e-05,1.2159867501227416e-05,8.000000000000001e-07,6.5e-06,2e-05,3e-05,2.0000000000000002e-07,0.0001,2000-01-13 15:41:00,2019-02-07 11:10:00,13,46,50.515728209386374,54.9925845642275,-3.657405622795426,1.3714352864107948,0.0,0.0,0.002785515320334262
Enterovirus,no/l,355,0,311.2676056338028,10.0,1456.6559970431085,10.0,10.0,20.0,158.00000000000068,10.0,16000.0,2001-02-23 12:35:00,2006-11-07 09:00:00,6,63,50.23522237701555,54.86896156646967,-4.256412641615366,0.9529413889808444,0.0,0.0,0.011267605633802818
"Indeno(1,2,3-cd)pyrene",mg/l,354,0,7.404039548022599e-05,2e-05,0.0010621719375980545,5e-07,5.15e-06,2.0825e-05,3e-05,2.0000000000000002e-07,0.02,2000-01-13 15:41:00,2019-02-07 11:10:00,13,45,50.515728209386374,54.9925845642275,-3.657405622795426,1.3714352864107948,0.0,0.0,0.00847457627118644
Thiocyanate as CNS,mg/l,339,0,0.5328200589970502,0.6,0.4492841578641392,0.18480000000000002,0.36,0.6,0.6,0.04,7.62,2000-01-06 09:20:00,2013-12-12 14:45:00,10,10,53.204687441006044,54.60304539925236,-2.8251123750214817,-0.615565914636574,0.0,0.0,0.011799410029498525
